category,name,address,city,state,zip,confidence
library,Oscar Rennebohm Library,959 Edgewood College Dr,Madison,WI,53711,0.96
library,Madison Public Library - Monroe Street,1705 Monroe St,Madison,WI,53711,0.96
library,Wisconsin's Digital Library,1360 Regent St,Madison,WI,53715,0.93
library,Madison Public Library - Goodman South Madison,2222 S Park St,Madison,WI,53713,0.96
library,Fitchburg Public Library,5530 Lacy Rd,Fitchburg,WI,53711,0.96
library,Monona Public Library,1000 Nichols Rd,Monona,WI,53716,0.96
library,E D Locke Public Library,5920 Milwaukee St,McFarland,WI,53558,0.95
library,Deerfield Public Library,12 W Nelson St,Deerfield,WI,53531,0.99
library,Cambridge Community Library,200 Spring St,Cambridge,WI,53523,0.95
library,Edgerton Public Library,101 Albion St,Edgerton,WI,53534,0.95
library,Jefferson Public Library,321 S Main St,Jefferson,WI,53549,0.95
library,Dwight Foster Public Library,209 Merchants Ave,Fort Atkinson,WI,53538,0.95
library,Andersen Library,750 W Main St,Whitewater,WI,53190,0.99
library,Irvin L Young Memorial Library,431 W Center St,Whitewater,WI,53190,0.96
library,Milton Public Library-Wisconsin,430 E High St,Milton,WI,53563,0.91
library,Clinton Public Library,214 Mill St,Clinton,WI,53525,0.96
library,Aram Public Library,404 E Walworth Ave,Delavan,WI,53115,0.95
library,Lenox Library,2909 Kellogg Ave,Janesville,WI,53546,0.96
library,Hedberg Public Library,316 S Main St,Janesville,WI,53545,0.95
library,Talcott Free Library,101 E Main St,Rockton,IL,61072,0.99
library,Beloit Public Library,605 Eclipse Blvd,Beloit,WI,53511,0.98
library,North Suburban Library District/Roscoe,5562 Clayton Cir,Roscoe,IL,61073,0.96
library,Brigham Memorial Library,131 Plain St,Sharon,WI,53585,0.96
library,Little Free Library #53540,1212 3rd St,Harvard,IL,60033,0.95
library,Harvard Diggins Library,900 E McKinley St,Harvard,IL,60033,0.96
library,Cherry Valley Public Library District,755 E State St,Cherry Valley,IL,61016,0.93
library,"Ida Public Library in Belvidere, Illinois",320 N State St,Belvidere,IL,61008,0.96
library,Kirkland Public Library,513 W Main St,Kirkland,IL,60146,0.95
library,Strahorn Library,118 E Washington St,Marengo,IL,60152,0.95
library,Genoa Public Library District,240 W Main St,Genoa,IL,60135,0.96
library,Winnebago Public Library,210 N Elida St,Winnebago,IL,61088,0.96
library,Byron Public Library District,100 S Washington St,Byron,IL,61010,0.96
